RESTAURANT SALES REPORT,,,,,,,,,
La Bella Cucina,,,,,,,,,
Q1-Q2 2026,,,,,,,,,
,,,,,,,,,
Date,Order ID,Item Name,Category,Qty,Price,Amount,Cost,Waiter,Table
2026-01-01,ORD-60752,Soda,Drinks,3,3,9,1.5,sarah,t3
01 Jan 2026,ORD-47864,Soda,Drinks,2,3,6.00,1.0,John,T1
N/A,ORD-79293,Bruschetta,Appetizers,1,7,7.00,2.5,sarah,T5
01.01.2026,ORD-85549,Caesar Salad,Salads,1,12,12,4,John,N/A
01/01/26,ORD-12502,Bruschetta,Appetizers,2,7,14,"5,00",MARY,T2
01/01/2026,ORD-60222,French Fries,Sides,3,5,$15.00,4.5,,T2
01/01/2026,ORD-44400,Pepperoni Pizza,Pizza,1,18,NULL,6.0%,john,T1
01 Jan 2026,ORD-12085,Soda,Drinks,1,3,NONE,0.5,Sarah,
01-01-2026,ORD-92218,Margherita Pizza,Pizza,3,15,45,15,sarah,
01/01/2026,ORD-78220,Margherita Pizza,Pizza,2,15,30,10.00 TRY,-,
01/01/26,ORD-27298,Pepperoni Pizza,Pizza,2,18,36,12,MARY,-
01.01.2026,ORD-89653,Coffee,Drinks,3,4,12.00,3,,T5
--,ORD-43188,Beef Burger,Burgers,2,14,28.00,12,john,t3
2026/01/01,ORD-20461,Margherita Pizza,Pizza,1,15,15,5,MARY,t3
01.01.2026,ORD-90441,Bruschetta,Appetizers,3,7,21,7.5,N/A,T2
01-01-2026,ORD-63429,Caesar Salad,Salads,1,12,12.00,4,NONE,T2
2026/01/01,ORD-30661,Margherita Pizza,Pizza,1,15,15,5,john,T2
2026/01/01,ORD-69418,Margherita Pizza,Pizza,3,15,45,15.00,Sarah,T5
2026-01-01,ORD-74158,  Pepperoni Pizza  ,Pizza,3,18,54,18,John,
01/01/26,ORD-67979,Margherita Pizza,Pizza,1,15,15,5.0%,MARY,
01.01.2026,ORD-97262,Soda,Drinks,1,3,€3.00,0.5,sarah,T2
01-01-2026,ORD-12079,Coffee,Drinks,2,4,8,2,null,t3
01/01/2026,ORD-93087,Pepperoni Pizza,Pizza,2,18,36,12,John,t3
2026/01/01,ORD-87545,Pepperoni Pizza,Pizza,1,18,18.00,6,none,
2026/01/01,ORD-61106,Chicken Wings,Appetizers,2,10,20,8,MARY,NONE
01/01/26,ORD-49087,Soda,Drinks,2,3,6,"1,00",John,T5
01 Jan 2026,ORD-92941,Chicken Wings,Appetizers,2,10,20,8.00,John,--
01/02/26,ORD-24957,Coffee,Drinks,1,4,4.00,1,,T2
01/02/26,ORD-81579,Soda,Drinks,1,3,3,0.50,n/a,T5
02/01/26,ORD-58465,Chicken Wings,Appetizers,1,10,10.0%,4,john,
01/02/26,ORD-61741,Coffee,Drinks,3,4,12.00 USD,3,john,T1
-,ORD-69846,Margherita Pizza,Pizza,1,15,15.0%,€5.00,john,t3
"Jan 02, 2026",ORD-68211,French Fries,Sides,2,5,10,3.0,sarah,T5
02/01/26,ORD-37511,French Fries,Sides,2,5,"10,00",3.0,,
01/02/26,ORD-98371,French Fries,Sides,3,5,15,4.5,john,T2
02.01.2026,ORD-67144,Soda,Drinks,3,3,9,1.5,sarah,T1
NA,ORD-72587,Chicken Wings,Appetizers,1,10,10,4,MARY,t3
2026/01/02,ORD-46622,Beef Burger,Burgers,1,14,14,6.0%,Sarah,T2
02 Jan 2026,ORD-97068,Pepperoni Pizza,Pizza,1,18,18,6,nan,--
01/02/2026,ORD-45859,Pepperoni Pizza,Pizza,1,18,18,6,,T1
2026-01-02,ORD-67226,Coffee,Drinks,3,4,12,3.00,Sarah,t3
02/01/26,ORD-87111,Tiramisu,Desserts,3,8,24,9,john,T2
02 Jan 2026,ORD-98567,BRUSCHETTA,Appetizers,2,7,14.00,5.0,Sarah,
02/01/2026,ORD-26821,margherita pizza,Pizza,2,15,none,10,none,T5
01/02/26,ORD-93717,Caesar Salad,Salads,3,12,36,12,Sarah,T5
2026/01/02,ORD-31227,Pepperoni Pizza,Pizza,2,18,36,12,john,T5
02/01/26,ORD-73764,Caesar Salad,Salads,3,12,36,12.00,MARY,T1
2026/01/02,ORD-86327,Soda,Drinks,3,3,9,1.5,MARY,T2
02 Jan 2026,ORD-13139,Pepperoni Pizza,Pizza,3,18,54.00,18,,t3
none,ORD-29469,Tiramisu,Desserts,2,8,16,6,john,T5
02.01.2026,ORD-64308,Chicken Wings,Appetizers,3,10,30.0%,12,john,null
02/01/2026,ORD-51693,Margherita Pizza,Pizza,1,15,15.00,₺5.00,MARY,T5
"Jan 02, 2026",ORD-38780,Soda ,Drinks,1,3,3.00,0.5%,john,T1
02 Jan 2026,ORD-93688,Bruschetta ,Appetizers,3,7,21,7.5,none,t3
02 Jan 2026,ORD-13891,Tiramisu,Desserts,3,8,24,9,john,t3
2026/01/02,ORD-35031,French Fries,Sides,3,5,15,NULL,sarah,T1
"Jan 02, 2026",ORD-44587,Pepperoni Pizza,Pizza,2,18,36.00,12,,T5
2026-01-02,ORD-79973,French Fries,Sides,2,5,10,3.0%,john,T1
02-01-2026,ORD-66273,Caesar  Salad,Salads,3,12,36.0%,12.00,,T5
02 Jan 2026,ORD-12137,French Fries,Sides,1,5,£5.00,1.5,sarah,none
01/02/26,ORD-31185,Coffee,Drinks,3,4,12,3,John,t3
01/02/2026,ORD-57282,Bruschetta,Appetizers,2,7,14,5.0,john,
01/02/26,ORD-20941,Caesar Salad,Salads,3,12,36.00 TRY,12,MARY,T1
