RETAIL STORE DAILY SALES,,,,,,,,
Store #12345,,,,,,,,
Generated: 2026-07-01,,,,,,,,
,,,,,,,,
Date,Receipt,Product Name,Category,Qty,Price,Total Amount,Cost,Payment
01-01-2026,R282255,  Cereal  ,Breakfast,11,1.9,20.90,11.98,Card
01/01/2026,R780014,Frozen Pizza,Frozen,7,7.17,50.19,26.25,
NONE,R235687,Chips,Snacks,8,7.64,61.12,41.57,Cash
01/01/26,R978654,Frozen Pizza,Frozen,4,8.02,32.08,25.34,
2026/01/01,R540732,Bread,Bakery,6,2.95,17.70,8.88,CASH
01/01/2026,R821523,Milk,Dairy,20,4.56,91.2,54.86,Mobile
01-01-2026,R126486,Canned Soup,Canned Goods,17,4.74,80.58,43.71,-
01.01.2026,R799627,Chips,Snacks,7,5.13,35.91,20.06,Card
01/01/2026,R492789,  Bread  ,Bakery,10,"3,67",36.70 EUR,22.65,Mobile
01 Jan 2026,R721968,Milk,Dairy,4,6.41,25.64,20.44,
01-01-2026,R823617,Chips,Snacks,1,2.95,2.95,"1,96",Card
2026-01-01,R501921,Cereal,Breakfast,12,6.19,74.28,41.18,Card
"Jan 01, 2026",R830357,Milk,Dairy,9,1.58 USD,$14.22,£10.98,Cash
01.01.2026,R709888,Chips,Snacks,2,8.63,17.26,11.12,none
01/01/26,R749918,Canned Soup,Canned Goods,20,1.51,30.2,16.56,
01-01-2026,R969364,  Bread  ,Bakery,1,4.89,4.89,3.17,Cash
01-01-2026,R651085,Chips,Snacks,12,8.50,102.00,64.73,Cash
01/01/2026,R220501,Frozen Pizza,Frozen,19,"6,83",N/A,99.42,CASH
"Jan 01, 2026",R805225,cereal,Breakfast,7,4.8%,33.53,17.98,NA
01/01/26,R895349,Frozen Pizza,Frozen,10,4.34,43.4,31.81,
01/01/2026,R438345,Milk,Dairy,16,8.66,€138.56,110.81,Cash
01/01/26,R373804,Bread,Bakery,9,8.49,76.41,€58.09,card
2026/01/01,R912824,Bread,Bakery,7,7.51,52.57,--,card
01/01/2026,R583291,Bread,Bakery,19,4.86,92.34 USD,64.5,
01 Jan 2026,R574817,Cereal,Breakfast,7,3.96,27.72,21.72,card
01/01/26,R930380,Milk,Dairy,4,5.31,21.24,€12.06,Cash
01.01.2026,R276366,Milk,Dairy,2,4.71,"9,42",7.29,nan
01/01/26,R546480,Canned Soup,Canned Goods,9,2.4%,21.60,17.18,Cash
2026/01/01,R426155,Soda,Beverages,14,9.91,138.74,69.71,Card
01/01/2026,R128480,Milk,Dairy,10,8.55,85.5,68.15,Mobile
01 Jan 2026,R729091,SODA,Beverages,13,3.88,50.44,€29.26,
NA,R931572,Canned Soup,Canned Goods,12,3.10,37.20,24.6,Mobile
01.01.2026,R807312,Cereal,Breakfast,10,2.14,21.4,14.9,card
2026/01/01,R951375,Canned Soup,Canned Goods,8,9.57,76.56,44.19,card
2026-01-01,R705676,Soda,Beverages,8,7.55,60.4,33.4,CASH
NA,R547658,Milk,Dairy,18,6.7,120.6,94.16,nan
01-01-2026,R104750,  Canned Soup  ,Canned Goods,14,3.55,49.7,27.97,N/A
01 Jan 2026,R641426,Cereal,Breakfast,19,4.06,77.14,41.73,Mobile
01.01.2026,R751402,Chips,Snacks,15,6.3,94.5,64.58,
01/01/26,R863333,Bread,Bakery,3,1.24 USD,3.72,2.71 EUR,Mobile
2026-01-01,R391754,Bread,Bakery,4,"4,46",€17.84,12.46,
01 Jan 2026,R175603,Bread,Bakery,11,8.03,88.33,55.0%,Card
2026/01/01,R840006,Frozen Pizza,Frozen,18,6.29,113.22,87.16,nan
01 Jan 2026,R686455,Chips,Snacks,6,7.8,46.80,35.68,Card
01/01/26,R780024,Frozen Pizza,Frozen,13,2.76,35.88,23.45,
01-01-2026,R883661,Cereal,Breakfast,10,6.78,67.80 EUR,44.15 USD,Card
01/01/2026,R807018,Soda,Beverages,10,7.12,71.2,40.11,Card
01 Jan 2026,R281465,Milk,Dairy,8,4.34,34.72,24.44,card
01.01.2026,R921618,Milk,Dairy,13,3.21,41.73,25.78,card
"Jan 01, 2026",R925451,Cereal,Breakfast,12,6.52,78.24,55.18,NONE
"Jan 01, 2026",R541713,Cereal,Breakfast,1,9.66,9.66,7.1,Cash
2026-01-01,R774601,Bread,Bakery,10,6.37,63.70,38.55,
01 Jan 2026,R483209,Canned Soup,Canned Goods,9,7.65,68.8%,50.87,n/a
01.01.2026,R589071,  Milk  ,Dairy,7,8.78,61.46,33.13,
01/01/26,R626242,Frozen Pizza,Frozen,3,1.63,4.89,3.52,
01.01.2026,R865634,Frozen Pizza,Frozen,13,8.5,110.50,"88,19",card
01 Jan 2026,R674158,Chips,Snacks,14,9.31,--,85.14,card
01/01/2026,R835454,Frozen Pizza,Frozen,20,1.14,22.80,13.95,Cash
01 Jan 2026,R283223,Milk,Dairy,1,7.57,7.57,5.09,Card
01/01/2026,R365636,Bread,Bakery,9,1.49,13.41,6.98,Card
01/01/2026,R857079,Frozen Pizza,Frozen,17,4.06,69.02,39.9%,Mobile
"Jan 01, 2026",R602337,Canned Soup,Canned Goods,16,6.81,108.96,81.88,CASH
01/01/2026,R466227,Milk,Dairy,3,9.7%,"29,16",22.62,-
01/01/26,R418335,Canned Soup,Canned Goods,17,7.98,135.66,82.67,Cash
01-01-2026,R995289,FROZEN PIZZA,Frozen,3,9.25,27.75,21.96,Card
01 Jan 2026,R298263,Soda,Beverages,18,7.86,141.48,95.02,N/A
01/01/2026,R281811,frozen pizza,Frozen,20,9.8%,196.8,108.62,
2026-01-01,R165821,Milk,Dairy,16,9.14,146.24,"86,07",CASH
01.01.2026,R795880,Bread,Bakery,7,1.53,10.71 TRY,6.34,CASH
01/01/2026,R526361,Soda,Beverages,15,4.66,69.9,52.55,
01 Jan 2026,R771839,Cereal,Breakfast,20,3.4,68.0,37.12,card
01/01/2026,R524146,Canned Soup,Canned Goods,3,1.16,3.48,2.67,Card
01/01/2026,R131957,Chips,Snacks,17,9.33,158.61 EUR,86.53,
01/01/2026,R896984,Frozen  Pizza,Frozen,9,5.47,49.23,"36,42",Mobile
01/01/2026,R251779,Chips,Snacks,2,7.33,14.66 EUR,8.02,
01/02/2026,R374881,Soda ,Beverages,11,2.68,-,21.08,Cash
02/01/2026,R765388,Soda,Beverages,10,8.98,89.8,52.0,Cash
02/01/26,R686011,Frozen Pizza,Frozen,19,5.55,105.45,66.51,-
02/01/2026,R202432,Canned Soup,Canned Goods,17,4.99,"84,83",64.81,null
2026-01-02,R317385,Cereal,Breakfast,7,6.0,42.00,21.11,Cash
01/02/26,R845849,Cereal,Breakfast,9,8.71,78.39,51.45,CASH
2026-01-02,R959909,Soda,Beverages,15,8.28 USD,124.2,89.34,card
02 Jan 2026,R822224,Frozen Pizza,Frozen,8,2.13,17.04,12.25,-
02/01/2026,R652539,Canned Soup,Canned Goods,6,4.31,25.86,18.08,Cash
"Jan 02, 2026",R626785,Milk,Dairy,12,2.89,34.68,21.88,card
02-01-2026,R185103,Soda,Beverages,11,8.22,90.42,51.15,Cash
02.01.2026,R652141,Soda,Beverages,12,7.15 EUR,85.8,61.15,Cash
02 Jan 2026,R472865,Milk,Dairy,14,4.99,69.86,50.87,Card
NULL,R468010,Bread,Bakery,12,8.01,96.12,60.63,
01/02/2026,R232385,Cereal,Breakfast,6,1.55,9.3,5.0%,Card
02 Jan 2026,R786719,Cereal,Breakfast,18,8.13,146.34,82.61,
2026/01/02,R933157,Bread,Bakery,17,9.74,165.58,96.43,card
02 Jan 2026,R608093,Chips,Snacks,13,9.88,128.44,82.95,Cash
02/01/26,R960893,Frozen Pizza,Frozen,13,6.7,87.1%,47.15,Mobile
02-01-2026,R684143,Chips,Snacks,15,7.65,114.8%,89.23,Mobile
02.01.2026,R402589,Bread,Bakery,16,₺5.09,81.44,62.09,card
02.01.2026,R413456,bread,Bakery,15,6.05,90.75 EUR,66.52,Cash
02 Jan 2026,R467531,Canned Soup,Canned Goods,6,€4.05,24.3,17.05,CASH
"Jan 02, 2026",R206795,Soda,Beverages,19,9.08,172.52,"111,18",
2026/01/02,R320734,Chips,Snacks,19,2.57,48.83,26.48,CASH
03/01/2026,R958413,Chips,Snacks,4,9.95,39.8%,27.83,CASH
"Jan 03, 2026",R424031,  Soda  ,Beverages,18,5.35,96.3,53.15,CASH
01/03/26,R923925,Soda,Beverages,12,5.21,"62,52",42.88,
03/01/2026,R914423,SODA,Beverages,16,7.72,123.52,72.93,n/a
03/01/2026,R366847,Milk,Dairy,7,7.67,53.69,37.4,card
"Jan 03, 2026",R397167,Chips,Snacks,19,5.40,102.6,76.2%,
2026-01-03,R501832,Cereal,Breakfast,13,1.33,17.29,11.04,
2026/01/03,R706392,Cereal,Breakfast,9,6.17,55.53,35.91,Mobile
2026/01/03,R837391,Milk,Dairy,18,7.94,142.92,"111,05",CASH
2026-01-03,R178025,Chips,Snacks,2,5.40,"10,80",6.87,N/A
01/03/26,R534159,Bread,Bakery,20,5.21,104.20,78.90,card
03 Jan 2026,R984453,Cereal,Breakfast,3,9.56,28.68,16.65,NULL
03/01/26,R509301,Cereal,Breakfast,5,4.51,22.6%,11.45 TRY,Card
03/01/2026,R714026,Canned Soup,Canned Goods,4,1.8,"7,20",3.87,null
03.01.2026,R495881,Frozen Pizza,Frozen,18,6.11,109.98,87.27,card
2026/01/03,R189472,Frozen Pizza,Frozen,7,2.63,18.41,13.00,nan
03/01/2026,R663145,Chips,Snacks,7,5.60,39.2,19.82,
"Jan 03, 2026",R277192,Soda,Beverages,16,9.45,151.2,"87,40",Cash
03/01/2026,R669862,Chips,Snacks,1,2.76,2.76,-,Mobile
03.01.2026,R672103,Chips,Snacks,13,2.3,29.90,20.37,card
2026/01/03,R934504,Canned Soup,Canned Goods,13,6.05,78.65,"54,82",-
"Jan 03, 2026",R776512,canned soup,Canned Goods,14,5.21,72.94,none,Cash
03-01-2026,R516395,Milk,Dairy,11,8.33,91.63,73.25,
2026/01/03,R280221,Milk,Dairy,19,4.5%,85.88,67.53,Mobile
NA,R343170,bread,Bakery,5,2.57,12.85,8.06,
03.01.2026,R495713,Canned Soup,Canned Goods,8,7.8%,62.40,46.69,card
01/03/26,R446469,Cereal,Breakfast,12,2.1,25.2,19.22,Card
2026-01-03,R301584,Frozen Pizza,Frozen,19,7.36,"139,84",93.68,Cash
03/01/26,R719285,Canned Soup,Canned Goods,15,9.17,N/A,105.64,
03 Jan 2026,R393407,Milk,Dairy,15,4.47,67.05,38.73,-
01/03/2026,R377030,Soda,Beverages,19,8.19,155.61,99.05,Cash
03/01/26,R145287,Chips,Snacks,15,4.0,60.0,43.59,
01/03/26,R477360,Frozen Pizza,Frozen,15,7.53,112.95,63.8%,card
03/01/26,R692733,Frozen Pizza,Frozen,10,8.22 EUR,82.20,51.30 EUR,CASH
2026/01/03,R877669,Milk,Dairy,6,4.49,26.9%,18.13,Mobile
03 Jan 2026,R919763,Cereal,Breakfast,14,4.41,61.74,41.8,
03 Jan 2026,R251325,Bread,Bakery,20,7.91,158.2,100.12,
03/01/26,R726077,Chips,Snacks,15,6.3,94.5,72.18,CASH
01/03/26,R718016,Milk,Dairy,2,"4,66",9.32,"7,36",
2026-01-03,R518200,Soda,Beverages,9,4.41,39.69,29.22,Mobile
2026-01-03,R134609,Frozen Pizza,Frozen,5,2.72,13.6,8.59,card
null,R479699,Cereal,Breakfast,9,3.28 EUR,29.52,22.60,n/a
"Jan 03, 2026",R670799,Soda,Beverages,5,5.76,28.80 EUR,n/a,
2026/01/03,R687394,Frozen Pizza,Frozen,6,"1,38",8.28,5.93,
03/01/2026,R363819,Chips,Snacks,7,9.56,66.92,49.03,card
01/03/2026,R668225,Cereal,Breakfast,10,6.11,61.10,45.16,Cash
2026-01-03,R186265,Bread,Bakery,16,1.04 EUR,16.64,nan,Mobile
03 Jan 2026,R535214,Chips,Snacks,12,3.68,44.16,34.63,
2026-01-03,R604660,Soda,Beverages,1,8.02,8.02,4.87,NULL
2026-01-04,R546949,Soda,Beverages,10,7.6%,76.1,59.33,Card
NONE,R146435,Cereal,Breakfast,9,4.02,₺36.18,28.7%,card
04/01/26,R858982,Canned Soup,Canned Goods,14,5.47,76.58,£60.83,N/A
01/04/2026,R722214,Milk,Dairy,8,3.04,24.32,13.25,
2026-01-04,R925814,Soda,Beverages,18,9.68,174.2%,"120,14",CASH
04 Jan 2026,R236614,Cereal,Breakfast,15,3.72,55.8,42.28,
04 Jan 2026,R842685,Bread,Bakery,17,9.33,158.61,90.62,Card
04 Jan 2026,R479482,Chips,Snacks,6,8.9%,53.64,30.97,Card
2026-01-04,R771830,Soda,Beverages,13,7.77,101.01,76.31,CASH
04 Jan 2026,R233635,Soda,Beverages,16,6.23,N/A,62.36,card
04/01/2026,R852701,Milk,Dairy,13,4.4%,57.72,$42.35,Cash
2026/01/04,R541559,Cereal,Breakfast,2,9.21,"18,42",12.96,Cash
