WHOLESALE SALES REPORT,,,,,,,,,,
Period: Jan-Jun 2026,,,,,,,,,,
,,,,,,,,,,
Date,Invoice #,Customer Name,Product,Qty,Unit Price,Amount,Cost,,Notes,Amount
,,,,,,Subtotal:,,,,
"Jan 01, 2026",INV-717889,BigBuy Distribution,Premium Widget,72,82.5,5 940.00,NULL,,nan,5 940.00
01 Jan 2026,INV-182627,MegaMart Corp ,Budget Widget,50,215.48,"10,774.00",7380.9%,,VIP,"10,774.00"
2026/01/01,INV-270555,BigBuy Distribution,Gadget Lite,170,193.19,"32.842,30",26780.49,,rush order,"32.842,30"
2026-01-01,INV-340174,BigBuy Distribution,Budget  Widget,63,207.65,"13.081,95",10 144.46,,,"13.081,95"
01/02/26,INV-549245,Small Dealer Co,Budget Widget,78,38.53,"3,005.34 EUR",2489.28,,n/a,"3,005.34 EUR"
02/01/26,INV-112038,Small Dealer Co,Gadget Lite,102,81.41,8303.82,"₺7,053.14",,--,8303.82
01/02/2026,INV-665579,BigBuy Distribution,Premium Widget,174,115.25,20053.5,"$13,503.53",,,20053.5
"Jan 03, 2026",INV-676510,BigBuy Distribution,Premium Widget,135,25.45,3435.75,"2,859.49",,,3435.75
03-01-2026,INV-167136,  BigBuy Distribution  ,Standard Widget,145,264.28,38320.6,27046.08,,,38320.6
01/03/26,INV-704201,MegaMart  Corp,Budget Widget,160,175.1,28016.0,20931.03,,NULL,28016.0
03-01-2026,INV-662336,Superstore Inc,Gadget Pro,131,246.1,32239.1,20878.12,,VIP,32239.1
"Jan 03, 2026",INV-604740,SuperStore Inc,Gadget Pro ,118,71.38,8422.84,6027.86,,,8422.84
2026-01-03,INV-152578,Small Dealer Co,Standard Widget,25,66.1,1652.5,992.39 USD,,,1652.5
03 Jan 2026,INV-789305,  Small Dealer Co  ,GADGET LITE,138,277.43,"38,285.34",28054.79,,,"38,285.34"
03/01/26,INV-378082,Bigbuy Distribution,Gadget  Lite,76,77.19,NA,4570.24,,VIP,NA
03/01/2026,INV-878480,BigBuy Distribution ,Standard Widget,27,266.2,7187.4,4976.42,,rush order,7187.4
2026-01-03,INV-103717,SuperStore Inc,Gadget Lite,79,98.89,7812.31,5098.76,,,7812.31
2026-01-03,INV-475190,SuperStore Inc,Budget Widget,173,294.34,50920.82,"$32,609.46",,,50920.82
2026/01/04,INV-920391,MegaMart Corp,Standard Widget,100,238.43,"23.843,00",19575.91,,,"23.843,00"
04.01.2026,INV-468203,SuperStore Inc,Gadget Pro,78,64.58,"5,037.24 EUR","3.905,47",,VIP,"5,037.24 EUR"
01/04/26,INV-299312,Small Dealer Co,gadget lite,183,294.72,"53,933.76",39 590.29,,VIP,"53,933.76"
04/01/2026,INV-854717,MegaMart Corp,Budget Widget,191,142.1,27141.1,19812.46,,,27141.1
04-01-2026,INV-550770,BIGBUY DISTRIBUTION,Budget  Widget,180,134.35,24183.0,16942.61,,,24183.0
04-01-2026,INV-805477,BigBuy Distribution,Gadget Lite,129,143.7,18537.3,14253.46,,,18537.3
2026-01-05,INV-887443,SuperStore Inc,Standard Widget,47,26.84,1 261.48,834.1,,,1 261.48
05/01/26,INV-567574,Small Dealer Co,PREMIUM WIDGET,66,69.25,4570.5,"₺3,836.90",,--,4570.5
05/01/26,INV-184491,Small Dealer Co,Standard Widget,125,92.57,11571.25,7657.97,,,11571.25
2026/01/05,INV-413118,Superstore Inc,Standard Widget,69,127.25,8780.25,"5.603,57",,,8780.25
-,INV-720644,Small Dealer Co,GADGET PRO,147,229.3,"33,707.10 USD",24 826.39,,NA,"33,707.10 USD"
n/a,INV-154615,MegaMart Corp,Gadget Lite,31,199.97,"6,199.07 EUR",3 929.74,,,"6,199.07 EUR"
2026/01/05,INV-275939,SuperStore Inc,Budget Widget,176,39.21,6900.96,5792.12,,,6900.96
01/06/26,INV-944657,megamart corp,Gadget Lite,51,290.12,14796.12,"9.277,53",,rush order,14796.12
06/01/26,INV-782054,MegaMart  Corp,Premium Widget,98,169.17,16578.66,12688.98,,,16578.66
06-01-2026,INV-472060,Small Dealer Co ,Budget Widget,129,141.96,"18,312.84 USD",14334.5,,,"18,312.84 USD"
2026-01-06,INV-197573,BigBuy Distribution,Budget Widget,81,266.49,"21.585,69",16735.3,,,"21.585,69"
2026/01/06,INV-225362,SuperStore Inc,Budget Widget,113,213.7,24148.1,16337.4%,,VIP,24148.1
01/06/2026,INV-387636,SuperStore Inc,Gadget Lite,59,80.59,4754.81,"3,428.45",,,4754.81
"Jan 06, 2026",INV-219629,MegaMart Corp,Premium Widget,151,101.8,15371.8,12851.17,,rush order,15371.8
06 Jan 2026,INV-572398,SMALL DEALER CO,Premium Widget,135,40.74,5499.9,"4.165,41",,,5499.9
06/01/2026,INV-264136,BigBuy Distribution,Gadget Pro,160,297.21,47553.6,32162.64,,,47553.6
06/01/26,INV-335729,small dealer co,Premium Widget,125,213.02,26627.5,"19.104,65",,,26627.5
"Jan 06, 2026",INV-184349,BigBuy Distribution,Standard Widget,46,39.99,1839.54,"1,180.03",,none,1839.54
01/06/2026,INV-593355,MEGAMART CORP,Gadget Lite,120,225.67,27080.4,20335.44,,,27080.4
07/01/26,INV-138479,BigBuy Distribution,Gadget Pro,56,299.14,16 751.84,"11,876.57",,,16 751.84
07-01-2026,INV-380028,MegaMart Corp,Gadget Pro,90,90.67,8160.3,"5,132.67 EUR",,,8160.3
01/07/2026,INV-622584,SuperStore  Inc,Gadget Lite,83,142.67,"£11,841.61",9172.07,,,"£11,841.61"
07/01/26,INV-380150,  BigBuy Distribution  ,BUDGET WIDGET,116,253.72,29431.52,24871.43,,,29431.52
07 Jan 2026,INV-145767,BigBuy Distribution,Premium Widget,195,103.6,"20,202.00 EUR",15 085.53,,,"20,202.00 EUR"
"Jan 07, 2026",INV-116093,Small Dealer Co,Budget Widget,190,275.76,52394.4,36430.23,,,52394.4
"Jan 07, 2026",INV-667296,Small Dealer Co,  Standard Widget  ,177,291.59,51611.43,31932.36,,,51611.43
,INV-407618,MegaMart Corp,Premium Widget,70,196.73,"13,771.10",11433.21,,,"13,771.10"
07.01.2026,INV-581894,BigBuy Distribution,Budget Widget,120,60.76,"7,291.20",5342.93,,,"7,291.20"
