Date,Invoice Number,Customer,Product,Quantity,Unit Price,Revenue,Cost
2026-01-01,INV-98696,Customer Gamma,Widget A,32,119.37,3819.84,2995.2
2026-01-01,INV-38657,Customer Alpha,Gadget Y,76,216.74,16472.24,10006.05
2026-01-01,INV-95181,Customer Epsilon,Widget B,78,23.0,1794.0,1165.58
2026-01-01,INV-10851,Customer Delta,Gadget Y,29,230.11,6673.19,4468.02
2026-01-01,INV-54118,Customer Delta,Widget B,44,146.16,6431.04,4204.8
2026-01-01,INV-89131,Customer Alpha,Widget A,49,57.39,2812.11,2283.08
2026-01-01,INV-59615,Customer Alpha,Widget C,94,235.12,22101.28,13950.47
2026-01-01,INV-57400,Customer Epsilon,Widget A,38,416.41,15823.58,11940.95
2026-01-02,INV-20458,Customer Alpha,Widget A,85,121.67,10341.95,6953.38
2026-01-02,INV-57819,Customer Alpha,Widget B,49,146.21,7164.29,5437.13
2026-01-02,INV-99593,Customer Gamma,Widget B,46,112.66,5182.36,3455.31
2026-01-02,INV-31417,Customer Epsilon,Widget A,82,93.86,7696.52,6020.85
2026-01-02,INV-83000,Customer Delta,Gadget X,35,494.87,17320.45,13163.54
2026-01-02,INV-14207,Customer Gamma,Widget B,99,390.24,38633.76,25392.5
2026-01-02,INV-84341,Customer Delta,Widget C,35,42.43,1485.05,1230.04
2026-01-02,INV-94259,Customer Beta,Widget C,84,254.62,21388.08,17563.27
2026-01-02,INV-80644,Customer Beta,Gadget X,34,78.42,2666.28,2096.36
2026-01-02,INV-38746,Customer Epsilon,Widget C,55,449.93,24746.15,17318.6
2026-01-02,INV-24371,Customer Epsilon,Widget B,64,54.55,3491.2,2135.84
2026-01-03,INV-71348,Customer Delta,Widget B,77,41.13,3167.01,2202.35
2026-01-03,INV-25014,Customer Gamma,Gadget Y,71,431.78,30656.38,18481.82
2026-01-03,INV-66985,Customer Gamma,Gadget Y,99,324.07,32082.93,20144.49
2026-01-03,INV-44522,Customer Delta,Widget B,1,477.37,477.37,390.95
2026-01-03,INV-49117,Customer Beta,Gadget Y,65,457.19,29717.35,24297.79
