Date,Order ID,Item,Category,Quantity,Price,Amount,Cost
2026-01-01,ORD-54897,Beef Burger,Burgers,3,14,42,18.0
2026-01-01,ORD-99712,Soda,Drinks,1,3,3,0.5
2026-01-01,ORD-70272,Tiramisu,Desserts,2,8,16,6.0
2026-01-01,ORD-67227,French Fries,Sides,1,5,5,1.5
2026-01-01,ORD-13068,Caesar Salad,Salads,1,12,12,4.0
2026-01-01,ORD-75711,Tiramisu,Desserts,3,8,24,9.0
2026-01-01,ORD-56830,Coffee,Drinks,1,4,4,1.0
2026-01-01,ORD-73810,Soda,Drinks,1,3,3,0.5
2026-01-01,ORD-86758,Margherita Pizza,Pizza,5,15,75,25.0
2026-01-01,ORD-34715,Pepperoni Pizza,Pizza,2,18,36,12.0
2026-01-01,ORD-73676,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-01,ORD-42401,Soda,Drinks,1,3,3,0.5
2026-01-01,ORD-86486,Bruschetta,Appetizers,1,7,7,2.5
2026-01-01,ORD-92134,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-01,ORD-82059,Beef Burger,Burgers,3,14,42,18.0
2026-01-01,ORD-94472,French Fries,Sides,1,5,5,1.5
2026-01-01,ORD-50608,Soda,Drinks,3,3,9,1.5
2026-01-01,ORD-98758,Beef Burger,Burgers,2,14,28,12.0
2026-01-01,ORD-61315,Coffee,Drinks,3,4,12,3.0
2026-01-01,ORD-80529,Soda,Drinks,1,3,3,0.5
2026-01-01,ORD-22181,Tiramisu,Desserts,2,8,16,6.0
2026-01-01,ORD-83201,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-01,ORD-96677,Soda,Drinks,1,3,3,0.5
2026-01-01,ORD-59937,Soda,Drinks,3,3,9,1.5
2026-01-01,ORD-80216,Pepperoni Pizza,Pizza,2,18,36,12.0
2026-01-01,ORD-36034,Soda,Drinks,2,3,6,1.0
2026-01-01,ORD-55089,Margherita Pizza,Pizza,2,15,30,10.0
2026-01-01,ORD-39447,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-01,ORD-59343,Beef Burger,Burgers,1,14,14,6.0
2026-01-01,ORD-42643,Coffee,Drinks,2,4,8,2.0
2026-01-01,ORD-73487,Coffee,Drinks,3,4,12,3.0
2026-01-01,ORD-40047,Pepperoni Pizza,Pizza,2,18,36,12.0
2026-01-01,ORD-93554,Soda,Drinks,3,3,9,1.5
2026-01-01,ORD-86990,Caesar Salad,Salads,3,12,36,12.0
2026-01-01,ORD-69611,Margherita Pizza,Pizza,5,15,75,25.0
2026-01-01,ORD-56057,Beef Burger,Burgers,1,14,14,6.0
2026-01-01,ORD-19641,Caesar Salad,Salads,1,12,12,4.0
2026-01-01,ORD-97123,Soda,Drinks,3,3,9,1.5
2026-01-01,ORD-70432,Caesar Salad,Salads,2,12,24,8.0
2026-01-01,ORD-60454,Bruschetta,Appetizers,1,7,7,2.5
2026-01-01,ORD-45936,Beef Burger,Burgers,2,14,28,12.0
2026-01-01,ORD-44499,Soda,Drinks,2,3,6,1.0
2026-01-01,ORD-50727,Margherita Pizza,Pizza,4,15,60,20.0
2026-01-01,ORD-37835,Beef Burger,Burgers,1,14,14,6.0
2026-01-01,ORD-32014,Coffee,Drinks,3,4,12,3.0
2026-01-01,ORD-58107,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-01,ORD-86463,Coffee,Drinks,2,4,8,2.0
2026-01-01,ORD-27424,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-01,ORD-97784,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-01,ORD-48717,Soda,Drinks,1,3,3,0.5
2026-01-01,ORD-97855,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-01,ORD-57627,Tiramisu,Desserts,1,8,8,3.0
2026-01-01,ORD-90195,Pepperoni Pizza,Pizza,3,18,54,18.0
2026-01-01,ORD-67222,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-01,ORD-94636,French Fries,Sides,2,5,10,3.0
2026-01-01,ORD-73979,Caesar Salad,Salads,1,12,12,4.0
2026-01-02,ORD-14191,Coffee,Drinks,3,4,12,3.0
2026-01-02,ORD-92108,Margherita Pizza,Pizza,4,15,60,20.0
2026-01-02,ORD-33934,Soda,Drinks,3,3,9,1.5
2026-01-02,ORD-40755,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-02,ORD-96351,Coffee,Drinks,3,4,12,3.0
2026-01-02,ORD-84894,Coffee,Drinks,3,4,12,3.0
2026-01-02,ORD-26132,Beef Burger,Burgers,3,14,42,18.0
2026-01-02,ORD-27535,Caesar Salad,Salads,2,12,24,8.0
2026-01-02,ORD-39521,Beef Burger,Burgers,3,14,42,18.0
2026-01-02,ORD-51860,Soda,Drinks,1,3,3,0.5
2026-01-02,ORD-39030,Soda,Drinks,2,3,6,1.0
2026-01-02,ORD-67326,Coffee,Drinks,3,4,12,3.0
2026-01-02,ORD-15254,Pepperoni Pizza,Pizza,2,18,36,12.0
2026-01-02,ORD-79738,Margherita Pizza,Pizza,2,15,30,10.0
2026-01-02,ORD-61961,Caesar Salad,Salads,2,12,24,8.0
2026-01-02,ORD-79313,Pepperoni Pizza,Pizza,1,18,18,6.0
2026-01-02,ORD-56781,Caesar Salad,Salads,3,12,36,12.0
2026-01-02,ORD-18396,French Fries,Sides,2,5,10,3.0
2026-01-02,ORD-61992,Caesar Salad,Salads,1,12,12,4.0
2026-01-02,ORD-87111,Bruschetta,Appetizers,1,7,7,2.5
