Date,Receipt No,Product,Category,Quantity,Unit Price,Amount,Cost
2026-01-01,R908895,Frozen Pizza,Frozen,2,5.5,11.0,6.0
2026-01-01,R825674,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-01,R366008,Bread,Bakery,23,2.5,57.5,23.0
2026-01-01,R931912,Milk,Dairy,13,1.8,23.4,15.6
2026-01-01,R194432,Pasta,Dry Goods,9,1.5,13.5,7.2
2026-01-01,R273845,Cereal,Breakfast,10,4.5,45.0,20.0
2026-01-01,R281608,Cooking Oil,Pantry,10,6.0,60.0,45.0
2026-01-01,R782126,Milk,Dairy,22,1.8,39.6,26.4
2026-01-01,R399298,Soda,Beverages,14,3.0,42.0,14.0
2026-01-01,R268871,Cereal,Breakfast,10,4.5,45.0,20.0
2026-01-01,R304043,Milk,Dairy,17,1.8,30.6,20.4
2026-01-01,R726935,Cereal,Breakfast,4,4.5,18.0,8.0
2026-01-01,R322228,Pasta,Dry Goods,2,1.5,3.0,1.6
2026-01-01,R994723,Cooking Oil,Pantry,8,6.0,48.0,36.0
2026-01-01,R830248,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-01,R248384,Pasta,Dry Goods,5,1.5,7.5,4.0
2026-01-01,R245808,Soda,Beverages,11,3.0,33.0,11.0
2026-01-01,R266427,Soda,Beverages,13,3.0,39.0,13.0
2026-01-01,R575000,Cereal,Breakfast,5,4.5,22.5,10.0
2026-01-01,R511820,Cooking Oil,Pantry,5,6.0,30.0,22.5
2026-01-01,R266263,Cooking Oil,Pantry,3,6.0,18.0,13.5
2026-01-01,R209081,Frozen Pizza,Frozen,6,5.5,33.0,18.0
2026-01-01,R242994,Canned Soup,Canned Goods,2,2.2,4.4,3.6
2026-01-01,R952864,Cooking Oil,Pantry,9,6.0,54.0,40.5
2026-01-01,R599977,Cooking Oil,Pantry,6,6.0,36.0,27.0
2026-01-01,R391006,Frozen Pizza,Frozen,2,5.5,11.0,6.0
2026-01-01,R396781,Canned Soup,Canned Goods,2,2.2,4.4,3.6
2026-01-01,R544867,Milk,Dairy,19,1.8,34.2,22.8
2026-01-01,R386354,Canned Soup,Canned Goods,1,2.2,2.2,1.8
2026-01-01,R103666,Canned Soup,Canned Goods,1,2.2,2.2,1.8
2026-01-01,R714696,Frozen Pizza,Frozen,9,5.5,49.5,27.0
2026-01-01,R867691,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-01,R824983,Bread,Bakery,17,2.5,42.5,17.0
2026-01-01,R892368,Frozen Pizza,Frozen,4,5.5,22.0,12.0
2026-01-01,R285171,Frozen Pizza,Frozen,5,5.5,27.5,15.0
2026-01-01,R762761,Spices,Pantry,5,3.5,17.5,5.0
2026-01-01,R413425,Soda,Beverages,13,3.0,39.0,13.0
2026-01-01,R663718,Canned Soup,Canned Goods,3,2.2,6.6,5.4
