Date,Supplier,Product,Quantity,Total Cost
2026-01-01,Vendor 4,Standard Widget,165,8250
2026-01-01,Supplier Alpha,Gadget Pro,22,3850
2026-01-01,Supplier Alpha,Gadget Pro,108,18900
2026-01-02,Supplier Alpha,Low Stock Item,105,13650
2026-01-02,Vendor 3,Gadget Lite,183,10065
2026-01-02,Supplier Alpha,Declining Product,144,9360
2026-01-02,Supplier Alpha,Premium Widget,64,7680
2026-01-02,Vendor 3,Budget Widget,112,2016
2026-01-02,Supplier Beta,Gadget Lite,28,1540
2026-01-02,Supplier Alpha,Gadget Pro,49,8575
2026-01-03,Supplier Alpha,Declining Product,80,5200
2026-01-03,Supplier Beta,Low Stock Item,70,9100
2026-01-04,Supplier Beta,Gadget Lite,164,9020
2026-01-04,Supplier Alpha,Budget Widget,42,756
2026-01-04,Supplier Beta,Budget Widget,76,1368
2026-01-04,Supplier Beta,Premium Widget,137,16440
2026-01-04,Vendor 4,Budget Widget,195,3510
2026-01-05,Supplier Alpha,Premium Widget,109,13080
2026-01-05,Vendor 5,Low Stock Item,64,8320
2026-01-05,Supplier Alpha,Gadget Pro,143,25025
2026-01-05,Supplier Beta,Gadget Lite,91,5005
2026-01-05,Supplier Alpha,Gadget Lite,51,2805
2026-01-05,Supplier Alpha,Premium Widget,184,22080
2026-01-06,Supplier Beta,Gadget Pro,156,27300
2026-01-06,Supplier Beta,Low Stock Item,95,12350
2026-01-06,Supplier Beta,Declining Product,104,6760
2026-01-06,Supplier Alpha,Declining Product,188,12220
2026-01-06,Supplier Alpha,Premium Widget,197,23640
2026-01-06,Supplier Beta,Premium Widget,118,14160
2026-01-07,Supplier Alpha,Gadget Pro,184,32200
2026-01-07,Supplier Beta,Gadget Lite,121,6655
2026-01-07,Supplier Beta,Budget Widget,40,720
2026-01-07,Supplier Alpha,Standard Widget,45,2250
2026-01-07,Vendor 2,Premium Widget,101,12120
2026-01-08,Vendor 12,Low Stock Item,101,13130
2026-01-08,Supplier Alpha,Standard Widget,119,5950
2026-01-08,Vendor 3,Premium Widget,152,18240
2026-01-08,Supplier Alpha,Gadget Pro,82,14350
2026-01-08,Vendor 7,Standard Widget,63,3150
2026-01-09,Supplier Alpha,Low Stock Item,103,13390
2026-01-09,Vendor 3,Low Stock Item,188,24440
2026-01-09,Supplier Beta,Declining Product,43,2795
2026-01-10,Supplier Alpha,Gadget Lite,132,7260
2026-01-10,Vendor 4,Gadget Lite,178,9790
2026-01-10,Supplier Beta,Premium Widget,185,22200
2026-01-11,Supplier Beta,Gadget Pro,102,17850
2026-01-11,Vendor 5,Gadget Lite,70,3850
2026-01-11,Supplier Beta,Gadget Pro,94,16450
2026-01-11,Vendor 14,Gadget Pro,135,23625
2026-01-11,Vendor 8,Budget Widget,51,918
2026-01-11,Supplier Beta,Declining Product,108,7020
2026-01-11,Vendor 9,Standard Widget,44,2200
2026-01-12,Supplier Alpha,Budget Widget,76,1368
2026-01-12,Vendor 4,Gadget Pro,130,22750
2026-01-12,Supplier Beta,Declining Product,110,7150
2026-01-12,Supplier Beta,Declining Product,34,2210
2026-01-12,Supplier Alpha,Standard Widget,106,5300
2026-01-13,Supplier Beta,Declining Product,129,8385
2026-01-13,Supplier Beta,Low Stock Item,184,23920
2026-01-14,Supplier Beta,Gadget Pro,57,9975
2026-01-14,Supplier Alpha,Declining Product,151,9815
2026-01-14,Supplier Beta,Budget Widget,73,1314
2026-01-14,Supplier Beta,Declining Product,89,5785
2026-01-14,Vendor 11,Gadget Pro,86,15050
2026-01-14,Supplier Beta,Premium Widget,192,23040
2026-01-14,Vendor 5,Standard Widget,165,8250
2026-01-15,Supplier Alpha,Budget Widget,169,3042
2026-01-15,Vendor 7,Premium Widget,21,2520
2026-01-15,Supplier Alpha,Low Stock Item,188,24440
2026-01-15,Supplier Alpha,Low Stock Item,144,18720
2026-01-15,Supplier Alpha,Low Stock Item,161,20930
2026-01-16,Supplier Alpha,Declining Product,40,2600
2026-01-16,Supplier Alpha,Low Stock Item,47,6110
2026-01-17,Supplier Alpha,Premium Widget,125,15000
2026-01-17,Supplier Alpha,Gadget Lite,154,8470
2026-01-17,Vendor 8,Gadget Pro,112,19600
2026-01-17,Supplier Alpha,Premium Widget,150,18000
2026-01-17,Supplier Beta,Gadget Pro,132,23100
2026-01-17,Supplier Beta,Gadget Pro,52,9100
2026-01-18,Supplier Beta,Low Stock Item,42,5460
2026-01-18,Supplier Alpha,Standard Widget,150,7500
2026-01-18,Supplier Beta,Gadget Lite,131,7205
2026-01-19,Vendor 2,Declining Product,145,9425
2026-01-19,Supplier Alpha,Premium Widget,177,21240
2026-01-19,Vendor 8,Budget Widget,165,2970
2026-01-19,Supplier Alpha,Budget Widget,55,990
2026-01-20,Vendor 12,Declining Product,193,12545
2026-01-20,Vendor 13,Standard Widget,108,5400
2026-01-20,Supplier Alpha,Declining Product,128,8320
2026-01-20,Supplier Alpha,Premium Widget,152,18240
2026-01-20,Vendor 6,Declining Product,128,8320
2026-01-20,Supplier Beta,Premium Widget,118,14160
2026-01-20,Supplier Alpha,Declining Product,63,4095
2026-01-21,Supplier Beta,Budget Widget,156,2808
2026-01-21,Supplier Beta,Standard Widget,156,7800
2026-01-21,Supplier Alpha,Budget Widget,51,918
2026-01-21,Supplier Beta,Premium Widget,68,8160
2026-01-21,Supplier Beta,Premium Widget,141,16920
2026-01-22,Vendor 7,Gadget Lite,182,10010
2026-01-22,Vendor 8,Budget Widget,134,2412
2026-01-22,Supplier Beta,Declining Product,199,12935
2026-01-22,Supplier Beta,Low Stock Item,56,7280
2026-01-23,Supplier Beta,Standard Widget,177,8850
2026-01-23,Vendor 11,Standard Widget,47,2350
2026-01-24,Supplier Beta,Budget Widget,150,2700
2026-01-24,Supplier Beta,Declining Product,91,5915
2026-01-24,Vendor 13,Budget Widget,34,612
2026-01-24,Supplier Alpha,Budget Widget,36,648
2026-01-24,Supplier Beta,Budget Widget,33,594
2026-01-24,Supplier Beta,Budget Widget,197,3546
2026-01-24,Supplier Beta,Gadget Pro,76,13300
2026-01-24,Supplier Beta,Budget Widget,142,2556
2026-01-25,Supplier Beta,Premium Widget,62,7440
2026-01-25,Supplier Alpha,Gadget Pro,152,26600
2026-01-25,Vendor 13,Gadget Pro,83,14525
2026-01-25,Supplier Alpha,Premium Widget,128,15360
2026-01-25,Supplier Beta,Gadget Lite,54,2970
2026-01-26,Vendor 10,Declining Product,127,8255
2026-01-26,Vendor 6,Declining Product,60,3900
2026-01-26,Vendor 13,Premium Widget,127,15240
2026-01-26,Vendor 11,Premium Widget,80,9600
2026-01-26,Vendor 4,Standard Widget,116,5800
2026-01-26,Supplier Beta,Declining Product,85,5525
2026-01-27,Vendor 1,Gadget Lite,195,10725
2026-01-27,Supplier Alpha,Low Stock Item,140,18200
2026-01-27,Vendor 12,Gadget Lite,48,2640
2026-01-27,Supplier Alpha,Premium Widget,75,9000
2026-01-28,Vendor 5,Premium Widget,179,21480
2026-01-28,Vendor 6,Gadget Pro,150,26250
2026-01-28,Supplier Alpha,Declining Product,70,4550
2026-01-28,Supplier Alpha,Gadget Lite,33,1815
2026-01-28,Supplier Alpha,Declining Product,121,7865
2026-01-28,Supplier Beta,Gadget Pro,112,19600
2026-01-28,Supplier Beta,Declining Product,150,9750
2026-01-29,Supplier Beta,Low Stock Item,160,20800
2026-01-29,Supplier Beta,Budget Widget,148,2664
2026-01-29,Supplier Beta,Low Stock Item,111,14430
2026-01-29,Supplier Beta,Premium Widget,45,5400
2026-01-29,Supplier Alpha,Declining Product,174,11310
2026-01-29,Vendor 7,Premium Widget,185,22200
2026-01-29,Vendor 1,Declining Product,170,11050
2026-01-29,Vendor 3,Gadget Lite,77,4235
2026-01-30,Vendor 13,Budget Widget,44,792
2026-01-30,Supplier Alpha,Standard Widget,146,7300
2026-01-30,Supplier Beta,Declining Product,153,9945
2026-01-30,Vendor 9,Gadget Pro,175,30625
2026-01-30,Supplier Beta,Standard Widget,24,1200
2026-01-30,Supplier Alpha,Declining Product,104,6760
2026-01-30,Supplier Alpha,Premium Widget,101,12120
2026-01-31,Supplier Alpha,Budget Widget,63,1134
2026-01-31,Supplier Beta,Declining Product,115,7475
2026-01-31,Vendor 13,Standard Widget,75,3750
2026-02-01,Supplier Beta,Low Stock Item,115,14950
2026-02-01,Supplier Alpha,Standard Widget,181,9050
2026-02-01,Vendor 7,Gadget Lite,196,10780
2026-02-01,Supplier Alpha,Low Stock Item,89,11570
2026-02-02,Vendor 11,Gadget Pro,165,28875
2026-02-02,Supplier Beta,Premium Widget,97,11640
2026-02-02,Vendor 4,Low Stock Item,128,16640
2026-02-02,Supplier Beta,Premium Widget,56,6720
2026-02-02,Supplier Beta,Declining Product,145,9425
2026-02-02,Supplier Alpha,Gadget Pro,70,12250
2026-02-02,Supplier Beta,Declining Product,37,2405
2026-02-02,Vendor 12,Standard Widget,50,2500
2026-02-03,Vendor 11,Low Stock Item,180,23400
2026-02-03,Supplier Beta,Low Stock Item,184,23920
2026-02-03,Supplier Beta,Standard Widget,36,1800
2026-02-03,Supplier Alpha,Premium Widget,153,18360
2026-02-04,Supplier Alpha,Budget Widget,32,576
2026-02-04,Vendor 1,Gadget Lite,64,3520
2026-02-04,Supplier Beta,Premium Widget,75,9000
2026-02-04,Supplier Beta,Standard Widget,82,4100
2026-02-04,Vendor 12,Standard Widget,75,3750
2026-02-04,Supplier Beta,Gadget Lite,182,10010
2026-02-04,Supplier Alpha,Budget Widget,180,3240
2026-02-04,Supplier Beta,Gadget Lite,120,6600
2026-02-05,Vendor 13,Declining Product,140,9100
2026-02-05,Supplier Beta,Gadget Pro,56,9800
2026-02-05,Vendor 11,Low Stock Item,65,8450
2026-02-06,Supplier Alpha,Declining Product,54,3510
2026-02-06,Supplier Beta,Low Stock Item,54,7020
2026-02-07,Vendor 2,Declining Product,106,6890
2026-02-07,Vendor 12,Declining Product,195,12675
2026-02-08,Supplier Alpha,Standard Widget,56,2800
2026-02-08,Supplier Alpha,Gadget Pro,90,15750
2026-02-08,Supplier Alpha,Low Stock Item,127,16510
2026-02-08,Supplier Beta,Premium Widget,176,21120
2026-02-08,Supplier Alpha,Declining Product,43,2795
2026-02-08,Supplier Beta,Premium Widget,128,15360
2026-02-09,Vendor 9,Gadget Pro,130,22750
2026-02-09,Vendor 7,Standard Widget,74,3700
2026-02-09,Supplier Beta,Gadget Pro,134,23450
2026-02-09,Supplier Beta,Premium Widget,65,7800
2026-02-10,Supplier Alpha,Gadget Lite,197,10835
2026-02-10,Supplier Alpha,Declining Product,117,7605
2026-02-11,Vendor 1,Gadget Pro,145,25375
2026-02-11,Supplier Alpha,Standard Widget,63,3150
2026-02-11,Supplier Beta,Gadget Lite,61,3355
2026-02-11,Vendor 5,Budget Widget,66,1188
2026-02-11,Supplier Beta,Standard Widget,20,1000
2026-02-11,Supplier Alpha,Standard Widget,175,8750
2026-02-11,Supplier Alpha,Declining Product,93,6045
2026-02-12,Vendor 6,Gadget Lite,164,9020
2026-02-12,Supplier Alpha,Gadget Pro,158,27650
2026-02-12,Supplier Beta,Low Stock Item,186,24180
2026-02-12,Supplier Beta,Low Stock Item,69,8970
2026-02-12,Supplier Alpha,Standard Widget,168,8400
2026-02-13,Supplier Beta,Low Stock Item,140,18200
2026-02-13,Supplier Alpha,Declining Product,113,7345
2026-02-13,Supplier Beta,Low Stock Item,114,14820
2026-02-14,Vendor 6,Declining Product,200,13000
2026-02-14,Supplier Beta,Budget Widget,74,1332
2026-02-14,Supplier Alpha,Budget Widget,127,2286
2026-02-14,Supplier Alpha,Low Stock Item,48,6240
2026-02-14,Supplier Alpha,Standard Widget,108,5400
2026-02-14,Vendor 6,Premium Widget,86,10320
2026-02-14,Supplier Alpha,Declining Product,120,7800
2026-02-14,Supplier Alpha,Gadget Pro,115,20125
2026-02-15,Vendor 10,Budget Widget,100,1800
2026-02-15,Supplier Beta,Standard Widget,45,2250
2026-02-15,Supplier Alpha,Gadget Pro,128,22400
2026-02-15,Supplier Alpha,Gadget Lite,188,10340
2026-02-15,Supplier Beta,Declining Product,20,1300
2026-02-15,Supplier Alpha,Gadget Lite,194,10670
2026-02-15,Vendor 1,Declining Product,37,2405
2026-02-16,Supplier Beta,Budget Widget,154,2772
2026-02-16,Vendor 12,Low Stock Item,193,25090
2026-02-17,Supplier Alpha,Gadget Pro,137,23975
2026-02-17,Supplier Alpha,Low Stock Item,174,22620
2026-02-17,Vendor 10,Declining Product,174,11310
2026-02-17,Supplier Alpha,Gadget Lite,176,9680
2026-02-17,Vendor 4,Low Stock Item,70,9100
2026-02-17,Vendor 9,Declining Product,129,8385
2026-02-17,Supplier Alpha,Low Stock Item,122,15860
2026-02-17,Supplier Alpha,Budget Widget,151,2718
2026-02-18,Vendor 4,Low Stock Item,131,17030
2026-02-18,Vendor 2,Declining Product,109,7085
2026-02-19,Vendor 4,Budget Widget,29,522
2026-02-19,Supplier Alpha,Declining Product,159,10335
2026-02-19,Vendor 4,Gadget Pro,181,31675
2026-02-20,Supplier Alpha,Declining Product,152,9880
2026-02-20,Supplier Beta,Premium Widget,190,22800
2026-02-20,Supplier Alpha,Budget Widget,65,1170
2026-02-20,Supplier Beta,Premium Widget,158,18960
2026-02-21,Supplier Alpha,Declining Product,189,12285
2026-02-21,Supplier Alpha,Low Stock Item,42,5460
2026-02-21,Vendor 8,Declining Product,132,8580
2026-02-21,Supplier Beta,Gadget Lite,157,8635
2026-02-21,Vendor 8,Gadget Pro,78,13650
2026-02-22,Supplier Alpha,Low Stock Item,37,4810
2026-02-22,Vendor 1,Budget Widget,186,3348
2026-02-22,Supplier Beta,Declining Product,148,9620
2026-02-22,Vendor 10,Low Stock Item,78,10140
2026-02-22,Supplier Beta,Standard Widget,197,9850
2026-02-22,Supplier Alpha,Gadget Pro,128,22400
2026-02-22,Supplier Beta,Standard Widget,119,5950
2026-02-23,Supplier Alpha,Standard Widget,58,2900
2026-02-23,Supplier Beta,Declining Product,68,4420
2026-02-24,Supplier Beta,Gadget Lite,175,9625
2026-02-24,Supplier Beta,Gadget Lite,120,6600
2026-02-24,Supplier Alpha,Low Stock Item,97,12610
2026-02-24,Supplier Alpha,Budget Widget,140,2520
2026-02-24,Supplier Beta,Declining Product,72,4680
2026-02-25,Supplier Beta,Gadget Lite,57,3135
2026-02-25,Vendor 11,Gadget Pro,153,26775
2026-02-25,Supplier Alpha,Declining Product,55,3575
2026-02-25,Supplier Beta,Gadget Lite,78,4290
2026-02-25,Supplier Beta,Low Stock Item,22,2860
2026-02-25,Supplier Beta,Declining Product,195,12675
2026-02-26,Supplier Beta,Gadget Pro,100,17500
2026-02-26,Supplier Beta,Premium Widget,88,10560
2026-02-26,Supplier Beta,Low Stock Item,139,18070
2026-02-26,Vendor 6,Gadget Pro,175,30625
2026-02-26,Supplier Beta,Standard Widget,93,4650
2026-02-26,Vendor 6,Standard Widget,117,5850
2026-02-26,Vendor 10,Low Stock Item,120,15600
2026-02-27,Vendor 8,Declining Product,166,10790
2026-02-27,Supplier Beta,Declining Product,56,3640
2026-02-28,Supplier Beta,Budget Widget,116,2088
2026-02-28,Vendor 2,Gadget Lite,102,5610
2026-02-28,Vendor 4,Premium Widget,22,2640
2026-03-01,Supplier Alpha,Declining Product,113,7345
2026-03-01,Vendor 14,Gadget Lite,141,7755
2026-03-01,Vendor 13,Gadget Lite,176,9680
2026-03-02,Vendor 12,Declining Product,197,12805
2026-03-02,Supplier Alpha,Budget Widget,47,846
2026-03-02,Supplier Alpha,Gadget Lite,161,8855
2026-03-02,Supplier Alpha,Premium Widget,131,15720
2026-03-02,Supplier Alpha,Standard Widget,29,1450
2026-03-03,Supplier Alpha,Premium Widget,26,3120
2026-03-03,Supplier Alpha,Budget Widget,113,2034
2026-03-03,Supplier Beta,Low Stock Item,76,9880
2026-03-03,Vendor 11,Standard Widget,56,2800
2026-03-03,Vendor 5,Budget Widget,111,1998
2026-03-04,Supplier Alpha,Standard Widget,52,2600
2026-03-04,Supplier Beta,Budget Widget,41,738
2026-03-04,Supplier Beta,Gadget Pro,41,7175
2026-03-04,Vendor 7,Low Stock Item,173,22490
2026-03-04,Supplier Alpha,Standard Widget,161,8050
2026-03-05,Supplier Beta,Low Stock Item,30,3900
2026-03-05,Supplier Beta,Gadget Pro,188,32900
2026-03-06,Vendor 10,Budget Widget,36,648
2026-03-06,Supplier Beta,Gadget Lite,73,4015
2026-03-06,Supplier Alpha,Gadget Pro,36,6300
2026-03-06,Vendor 9,Gadget Lite,144,7920
2026-03-06,Supplier Alpha,Premium Widget,136,16320
