Date,Invoice #,Customer Name,Product,Qty,Unit Price,Amount,Cost
2026-01-01,INV-948637,MegaMart Corp,Premium Widget,144,150,21600,17280
2026-01-01,INV-157307,Small Dealer 20,Budget Widget,414,30,12420,7452
2026-01-01,INV-325228,SuperStore Inc,Premium Widget,123,150,18450,14760
2026-01-01,INV-748268,Small Dealer 15,Budget Widget,142,30,4260,2556
2026-01-01,INV-103890,BigBuy Distribution,Low Stock Item,240,200,48000,31200
2026-01-01,INV-211718,MegaMart Corp,Standard Widget,321,80,25680,16050
2026-01-01,INV-402965,Small Dealer 13,Gadget Pro,324,250,81000,56700
2026-01-01,INV-104516,BigBuy Distribution,Declining Product,46,100,4600,2990
2026-01-01,INV-547351,Small Dealer 1,Standard Widget,95,80,7600,4750
2026-01-01,INV-168542,Small Dealer 15,Budget Widget,129,30,3870,2322
2026-01-01,INV-612659,Small Dealer 18,Premium Widget,188,150,28200,22560
2026-01-01,INV-818741,Small Dealer 13,Standard Widget,54,80,4320,2700
2026-01-01,INV-731830,Small Dealer 3,Premium Widget,283,150,42450,33960
2026-01-01,INV-925025,SuperStore Inc,Budget Widget,218,30,6540,3924
2026-01-01,INV-139271,SuperStore Inc,Standard Widget,212,80,16960,10600
2026-01-01,INV-394543,SuperStore Inc,Premium Widget,41,150,6150,4920
2026-01-01,INV-633479,BigBuy Distribution,Low Stock Item,149,200,29800,19370
2026-01-01,INV-126584,SuperStore Inc,Gadget Lite,64,90,5760,3520
2026-01-01,INV-603810,Small Dealer 28,Standard Widget,344,80,27520,17200
2026-01-01,INV-948240,SuperStore Inc,Low Stock Item,111,200,22200,14430
2026-01-01,INV-138287,Small Dealer 14,Gadget Lite,36,90,3240,1980
2026-01-01,INV-197334,MegaMart Corp,Standard Widget,482,80,38560,24100
2026-01-01,INV-949507,SuperStore Inc,Premium Widget,493,150,73950,59160
2026-01-02,INV-417758,BigBuy Distribution,Gadget Pro,275,250,68750,48125
2026-01-02,INV-459077,Small Dealer 24,Declining Product,483,100,48300,31395
2026-01-02,INV-214187,MegaMart Corp,Standard Widget,300,80,24000,15000
2026-01-02,INV-321371,BigBuy Distribution,Premium Widget,429,150,64350,51480
2026-01-02,INV-101323,Small Dealer 12,Standard Widget,474,80,37920,23700
2026-01-02,INV-747169,Small Dealer 25,Premium Widget,169,150,25350,20280
2026-01-02,INV-503415,Small Dealer 19,Low Stock Item,102,200,20400,13260
2026-01-02,INV-504663,SuperStore Inc,Standard Widget,378,80,30240,18900
2026-01-02,INV-779052,Small Dealer 24,Low Stock Item,254,200,50800,33020
2026-01-02,INV-326970,Small Dealer 8,Premium Widget,242,150,36300,29040
2026-01-02,INV-548341,Small Dealer 28,Budget Widget,400,30,12000,7200
2026-01-02,INV-619370,Small Dealer 5,Budget Widget,269,30,8070,4842
2026-01-02,INV-882498,Small Dealer 5,Standard Widget,415,80,33200,20750
2026-01-02,INV-651605,Small Dealer 27,Budget Widget,443,30,13290,7974
2026-01-02,INV-976183,SuperStore Inc,Gadget Pro,134,250,33500,23450
2026-01-02,INV-506868,SuperStore Inc,Gadget Pro,425,250,106250,74375
2026-01-02,INV-835361,BigBuy Distribution,Premium Widget,143,150,21450,17160
2026-01-03,INV-310510,Small Dealer 8,Budget Widget,305,30,9150,5490
2026-01-03,INV-738538,Small Dealer 29,Gadget Lite,256,90,23040,14080
2026-01-03,INV-340119,BigBuy Distribution,Premium Widget,254,150,38100,30480
2026-01-03,INV-224195,Small Dealer 15,Low Stock Item,74,200,14800,9620
2026-01-03,INV-684363,BigBuy Distribution,Gadget Lite,310,90,27900,17050
2026-01-03,INV-512242,SuperStore Inc,Gadget Lite,144,90,12960,7920
2026-01-03,INV-661108,MegaMart Corp,Gadget Lite,313,90,28170,17215
2026-01-03,INV-410347,Small Dealer 15,Premium Widget,62,150,9300,7440
2026-01-03,INV-478136,Small Dealer 21,Gadget Pro,177,250,44250,30975
2026-01-03,INV-348865,MegaMart Corp,Low Stock Item,377,200,75400,49010
2026-01-04,INV-203868,Small Dealer 16,Gadget Pro,440,250,110000,77000
2026-01-04,INV-258246,Small Dealer 13,Declining Product,308,100,30800,20020
2026-01-04,INV-993643,MegaMart Corp,Low Stock Item,436,200,87200,56680
2026-01-04,INV-282069,SuperStore Inc,Premium Widget,328,150,49200,39360
2026-01-04,INV-799200,MegaMart Corp,Premium Widget,34,150,5100,4080
2026-01-04,INV-886270,MegaMart Corp,Gadget Pro,404,250,101000,70700
2026-01-04,INV-753773,SuperStore Inc,Gadget Lite,392,90,35280,21560
2026-01-04,INV-191981,MegaMart Corp,Standard Widget,495,80,39600,24750
2026-01-04,INV-875806,Small Dealer 1,Premium Widget,354,150,53100,42480
2026-01-04,INV-302603,MegaMart Corp,Gadget Pro,401,250,100250,70175
2026-01-04,INV-972633,SuperStore Inc,Gadget Pro,202,250,50500,35350
2026-01-04,INV-819950,MegaMart Corp,Gadget Lite,358,90,32220,19690
2026-01-04,INV-994118,Small Dealer 23,Gadget Lite,297,90,26730,16335
2026-01-04,INV-328643,MegaMart Corp,Standard Widget,355,80,28400,17750
2026-01-04,INV-654932,SuperStore Inc,Gadget Pro,144,250,36000,25200
2026-01-04,INV-758641,BigBuy Distribution,Declining Product,135,100,13500,8775
2026-01-05,INV-539343,Small Dealer 12,Budget Widget,381,30,11430,6858
2026-01-05,INV-909605,MegaMart Corp,Standard Widget,46,80,3680,2300
2026-01-05,INV-246495,Small Dealer 18,Standard Widget,459,80,36720,22950
2026-01-05,INV-651833,MegaMart Corp,Gadget Lite,51,90,4590,2805
2026-01-05,INV-227469,Small Dealer 13,Gadget Lite,157,90,14130,8635
2026-01-05,INV-757853,MegaMart Corp,Gadget Pro,332,250,83000,58100
2026-01-05,INV-263096,Small Dealer 8,Gadget Lite,24,90,2160,1320
2026-01-05,INV-823808,SuperStore Inc,Gadget Lite,69,90,6210,3795
2026-01-05,INV-631358,BigBuy Distribution,Standard Widget,226,80,18080,11300
2026-01-05,INV-169329,BigBuy Distribution,Low Stock Item,312,200,62400,40560
2026-01-05,INV-705453,Small Dealer 5,Standard Widget,410,80,32800,20500
2026-01-05,INV-339196,Small Dealer 23,Low Stock Item,385,200,77000,50050
2026-01-05,INV-659583,Small Dealer 11,Standard Widget,413,80,33040,20650
2026-01-05,INV-944149,BigBuy Distribution,Gadget Lite,215,90,19350,11825
2026-01-05,INV-731770,MegaMart Corp,Standard Widget,204,80,16320,10200
2026-01-05,INV-986795,BigBuy Distribution,Budget Widget,319,30,9570,5742
2026-01-05,INV-273451,SuperStore Inc,Gadget Lite,450,90,40500,24750
2026-01-05,INV-744770,Small Dealer 11,Standard Widget,474,80,37920,23700
2026-01-05,INV-817010,SuperStore Inc,Budget Widget,164,30,4920,2952
2026-01-05,INV-883278,MegaMart Corp,Gadget Lite,481,90,43290,26455
2026-01-05,INV-556137,BigBuy Distribution,Gadget Pro,287,250,71750,50225
2026-01-05,INV-921196,MegaMart Corp,Premium Widget,168,150,25200,20160
2026-01-06,INV-734388,SuperStore Inc,Budget Widget,22,30,660,396
2026-01-06,INV-623954,Small Dealer 1,Budget Widget,297,30,8910,5346
2026-01-06,INV-464610,SuperStore Inc,Budget Widget,369,30,11070,6642
2026-01-06,INV-158496,BigBuy Distribution,Gadget Lite,365,90,32850,20075
2026-01-06,INV-275006,Small Dealer 13,Gadget Pro,465,250,116250,81375
2026-01-06,INV-280072,Small Dealer 17,Declining Product,36,100,3600,2340
2026-01-06,INV-259324,Small Dealer 19,Premium Widget,362,150,54300,43440
2026-01-06,INV-509126,BigBuy Distribution,Budget Widget,498,30,14940,8964
2026-01-06,INV-532491,Small Dealer 15,Standard Widget,69,80,5520,3450
2026-01-06,INV-633431,MegaMart Corp,Standard Widget,175,80,14000,8750
2026-01-06,INV-283720,BigBuy Distribution,Gadget Lite,13,90,1170,715
2026-01-06,INV-718069,SuperStore Inc,Gadget Pro,327,250,81750,57225
2026-01-06,INV-730869,Small Dealer 26,Low Stock Item,110,200,22000,14300
2026-01-06,INV-431189,Small Dealer 16,Gadget Lite,306,90,27540,16830
2026-01-06,INV-955767,Small Dealer 3,Low Stock Item,339,200,67800,44070
2026-01-07,INV-189483,SuperStore Inc,Budget Widget,359,30,10770,6462
2026-01-07,INV-510531,SuperStore Inc,Gadget Pro,120,250,30000,21000
2026-01-07,INV-844996,Small Dealer 15,Premium Widget,121,150,18150,14520
2026-01-07,INV-784653,MegaMart Corp,Budget Widget,211,30,6330,3798
2026-01-07,INV-268100,SuperStore Inc,Premium Widget,62,150,9300,7440
2026-01-07,INV-991459,BigBuy Distribution,Budget Widget,383,30,11490,6894
2026-01-07,INV-115113,MegaMart Corp,Premium Widget,417,150,62550,50040
2026-01-07,INV-879212,SuperStore Inc,Declining Product,26,100,2600,1690
2026-01-07,INV-274198,Small Dealer 23,Standard Widget,305,80,24400,15250
2026-01-07,INV-636112,BigBuy Distribution,Low Stock Item,81,200,16200,10530
2026-01-07,INV-141225,MegaMart Corp,Gadget Lite,66,90,5940,3630
2026-01-07,INV-650254,Small Dealer 22,Gadget Pro,277,250,69250,48475
2026-01-07,INV-340677,MegaMart Corp,Gadget Pro,235,250,58750,41125
2026-01-07,INV-404724,Small Dealer 12,Gadget Lite,480,90,43200,26400
2026-01-08,INV-240230,MegaMart Corp,Premium Widget,251,150,37650,30120
2026-01-08,INV-409253,BigBuy Distribution,Declining Product,291,100,29100,18915
2026-01-08,INV-806129,SuperStore Inc,Budget Widget,434,30,13020,7812
2026-01-08,INV-613861,BigBuy Distribution,Gadget Pro,92,250,23000,16100
2026-01-08,INV-319509,SuperStore Inc,Gadget Lite,464,90,41760,25520
2026-01-08,INV-755051,SuperStore Inc,Premium Widget,90,150,13500,10800
2026-01-08,INV-195813,Small Dealer 11,Budget Widget,179,30,5370,3222
